Timepoint,Environment,PCD,Species,Statistics,Sex,Reference
Male Body weight reaches 100% of stable value (sex selective),Captive Laboratory,276.7,Felis,2,Male,"Cave NJ, Bridges JP, Weidgraaf K, Thomas DG. Nonlinear mixed models of growth curves from domestic shorthair cats in a breeding colony, housed in a seasonal facility to predict obesity. Journal of animal physiology and animal nutrition. 2018 Oct;102(5):1390-400."
Male Body weight reaches 100% of stable value (sex selective),Captive Laboratory,336.2,Felis,2,Male,"NAKAI N, NAWA K, MAEKAWA M, NAGASAWA H. Age-related changes in hematological and serum biochemical values in cats. Experimental Animals. 1992 Jul 1;41(3):287-94."
Male Body weight reaches 100% of stable value (sex selective),Captive client,285.43,Felis,2,Male,Olovson SG. Diet and breeding performance in cats. Laboratory animals. 1986 Jul 1;20(3):221-30.
Male Body weight reaches 50% of stable value (sex selective),Captive client,154.946,Felis,2,Male,Auburn veterinary clinic
Male Body weight reaches 50% of stable value (sex selective),Captive Laboratory,229.25,Felis,2,Male,"Cave NJ, Bridges JP, Weidgraaf K, Thomas DG. Nonlinear mixed models of growth curves from domestic shorthair cats in a breeding colony, housed in a seasonal facility to predict obesity. Journal of animal physiology and animal nutrition. 2018 Oct;102(5):1390-400."
Male Body weight reaches 50% of stable value (sex selective),Captive Laboratory,159.8,Felis,2,Male,"NAKAI N, NAWA K, MAEKAWA M, NAGASAWA H. Age-related changes in hematological and serum biochemical values in cats. Experimental Animals. 1992 Jul 1;41(3):287-94."
Male Body weight reaches 50% of stable value (sex selective),Captive client,263.31,Felis,2,Male,Olovson SG. Diet and breeding performance in cats. Laboratory animals. 1986 Jul 1;20(3):221-30.
Male Body weight reaches 60% of stable value (sex selective),Captive client,272.463,Felis,2,Male,Auburn veterinary clinic
Male Body weight reaches 60% of stable value (sex selective),Captive Laboratory,451.9,Felis,2,Male,"Cave NJ, Bridges JP, Weidgraaf K, Thomas DG. Nonlinear mixed models of growth curves from domestic shorthair cats in a breeding colony, housed in a seasonal facility to predict obesity. Journal of animal physiology and animal nutrition. 2018 Oct;102(5):1390-400."
Male Body weight reaches 60% of stable value (sex selective),Captive Laboratory,195.2,Felis,2,Male,"NAKAI N, NAWA K, MAEKAWA M, NAGASAWA H. Age-related changes in hematological and serum biochemical values in cats. Experimental Animals. 1992 Jul 1;41(3):287-94."
Male Body weight reaches 60% of stable value (sex selective),Captive client,241.19,Felis,2,Male,Olovson SG. Diet and breeding performance in cats. Laboratory animals. 1986 Jul 1;20(3):221-30.
Male Body weight reaches 70% of stable value (sex selective),Captive client,389.98,Felis,2,Male,Auburn veterinary clinic
Male Body weight reaches 70% of stable value (sex selective),Captive Laboratory,386.2,Felis,2,Male,"Cave NJ, Bridges JP, Weidgraaf K, Thomas DG. Nonlinear mixed models of growth curves from domestic shorthair cats in a breeding colony, housed in a seasonal facility to predict obesity. Journal of animal physiology and animal nutrition. 2018 Oct;102(5):1390-400."
Male Body weight reaches 70% of stable value (sex selective),Captive Laboratory,230.3,Felis,2,Male,"NAKAI N, NAWA K, MAEKAWA M, NAGASAWA H. Age-related changes in hematological and serum biochemical values in cats. Experimental Animals. 1992 Jul 1;41(3):287-94."
Male Body weight reaches 70% of stable value (sex selective),Captive client,219.07,Felis,2,Male,Olovson SG. Diet and breeding performance in cats. Laboratory animals. 1986 Jul 1;20(3):221-30.
Male Body weight reaches 80% of stable value (sex selective),Captive client,507.497,Felis,2,Male,Auburn veterinary clinic
Male Body weight reaches 80% of stable value (sex selective),Captive Laboratory,320.5,Felis,2,Male,"Cave NJ, Bridges JP, Weidgraaf K, Thomas DG. Nonlinear mixed models of growth curves from domestic shorthair cats in a breeding colony, housed in a seasonal facility to predict obesity. Journal of animal physiology and animal nutrition. 2018 Oct;102(5):1390-400."
Male Body weight reaches 80% of stable value (sex selective),Captive Laboratory,265.7,Felis,2,Male,"NAKAI N, NAWA K, MAEKAWA M, NAGASAWA H. Age-related changes in hematological and serum biochemical values in cats. Experimental Animals. 1992 Jul 1;41(3):287-94."
Male Body weight reaches 80% of stable value (sex selective),Captive client,196.88,Felis,2,Male,Olovson SG. Diet and breeding performance in cats. Laboratory animals. 1986 Jul 1;20(3):221-30.
Male Body weight reaches 90% of stable value (sex selective),Captive client,625.014,Felis,2,Male,Auburn veterinary clinic
Male Body weight reaches 90% of stable value (sex selective),Captive Laboratory,254.8,Felis,2,Male,"Cave NJ, Bridges JP, Weidgraaf K, Thomas DG. Nonlinear mixed models of growth curves from domestic shorthair cats in a breeding colony, housed in a seasonal facility to predict obesity. Journal of animal physiology and animal nutrition. 2018 Oct;102(5):1390-400."
Male Body weight reaches 90% of stable value (sex selective),Captive Laboratory,300.8,Felis,2,Male,"NAKAI N, NAWA K, MAEKAWA M, NAGASAWA H. Age-related changes in hematological and serum biochemical values in cats. Experimental Animals. 1992 Jul 1;41(3):287-94."
Male Body weight reaches 90% of stable value (sex selective),Captive client,174.76,Felis,2,Male,Olovson SG. Diet and breeding performance in cats. Laboratory animals. 1986 Jul 1;20(3):221-30.
